gene,G0_G1_transition,G1S_transition,DNA_replication_S_phase,G2M_transition,metaphase_anaphase_transition,checkpoint_spindle_assembly_checkpoint,all_checkpoint,general_cell_cycle_regulation,general_mitotic_cell_cycle_regulation,general_phase_transition
PBRM1,True,True,False,False,True,False,False,True,False,True
PCLAF,False,False,False,False,False,False,False,True,False,False
PDGFB,False,False,False,False,False,False,False,True,False,False
PDGFRB,False,False,False,False,False,False,False,True,False,False
PDIK1L,False,False,False,True,False,False,False,False,False,True
PDXP,False,False,False,False,False,False,False,True,True,False
PDZD2,False,False,False,False,False,False,False,True,True,False
PER2,False,False,False,False,False,False,False,True,False,False
PES1,False,False,False,False,False,False,False,True,False,False
PHACTR4,False,False,False,False,False,False,False,True,False,False
PHB2,False,True,False,False,False,False,False,False,False,True
PHF10,True,True,False,False,True,False,False,True,False,True
PHF8,False,True,False,False,False,False,False,False,False,True
PHIP,False,False,False,False,False,False,False,True,False,False
PHOX2B,False,False,False,True,False,False,False,False,False,True
PIK3C3,False,False,False,False,False,False,False,True,False,False
PIK3R4,False,False,False,False,False,False,False,True,False,False
PIM2,False,True,False,False,False,False,False,True,True,True
PIM3,False,False,False,False,False,False,False,True,True,False
PINX1,False,False,False,True,False,False,False,False,False,True
PKD1,False,True,False,False,False,False,False,True,False,True
PKMYT1,False,False,False,True,False,False,False,True,True,True
PKN2,False,False,False,False,False,False,False,True,True,False
PKP3,False,True,False,False,False,False,False,False,False,True
PKP4,False,False,False,False,False,False,False,True,False,False
PLAGL1,False,False,False,False,False,False,False,True,False,False
PLCB1,False,True,False,True,False,False,False,False,False,True
PLCG2,False,True,False,False,False,False,False,False,False,True
PLK1,False,False,False,True,True,False,True,True,True,True
PLK2,False,True,False,False,False,False,False,False,False,True
PLK3,False,True,False,True,False,True,True,True,False,True
PLK4,False,False,False,False,False,False,False,True,False,False
PLK5,False,True,False,False,False,False,False,False,False,True
PLSCR1,False,False,False,False,False,False,False,True,False,False
PML,False,False,False,False,False,False,False,True,True,False
POC5,False,False,False,False,False,False,False,True,False,False
POLE,False,True,False,False,False,False,False,False,False,True
POLR1B,False,True,False,False,False,True,True,False,False,False
POTEF,True,True,False,False,True,False,False,True,False,True
POU4F1,False,False,False,False,False,False,False,True,False,False
PPM1A,False,False,False,False,False,False,False,True,False,False
PPME1,False,False,False,True,False,False,False,False,False,True
PPP1R10,False,False,False,False,False,False,False,True,True,False
PPP1R13B,False,False,False,False,False,False,False,True,False,False
PPP1R15A,False,False,False,False,False,False,False,True,False,False
PPP1R9B,False,False,False,False,False,False,False,True,False,True
PPP2CA,False,True,False,False,False,False,False,False,False,True
PPP2R2A,False,False,False,False,False,False,False,True,False,False
PPP2R2D,False,False,False,False,False,False,False,True,False,True
PPP2R3B,False,False,False,False,False,False,False,True,False,False
PPP6C,False,True,False,False,False,False,False,False,False,True
PRC1,False,False,False,False,False,False,False,True,False,False
PRCC,False,False,False,False,False,False,False,True,False,False
PRDM11,False,False,False,False,False,False,False,True,False,False
PRKAG1,False,False,False,False,False,False,False,True,False,False
PRKAG2,False,False,False,False,False,False,False,True,False,False
PRKAG3,False,False,False,False,False,False,False,True,False,False
PRKCA,False,False,False,False,False,False,False,True,True,False
PRKCE,False,False,False,False,False,False,False,True,False,False
PRKD2,False,True,False,False,False,False,False,True,False,True
PRKDC,False,True,False,False,False,False,True,False,False,False
PRMT2,False,True,False,False,False,False,False,False,False,True
PRMT5,False,False,False,False,False,False,False,True,True,False
PROC,False,True,False,False,False,False,False,True,False,True
PROX1,False,False,False,False,False,False,False,True,False,False
PRP4K,False,False,False,False,False,True,True,False,False,False
PRPF40A,False,False,False,False,False,False,False,True,False,False
PRR11,False,False,False,False,False,False,False,True,False,False
PSMD10,False,False,False,False,False,False,False,True,False,False
PSME1,False,True,False,False,False,False,False,False,False,True
PSME2,False,True,False,False,False,False,False,False,False,True
PSME3,False,True,False,False,False,False,False,False,False,True
PSRC1,False,False,False,False,False,False,False,True,False,False
PTEN,False,True,False,False,False,False,False,True,False,True
PTGES2,False,False,False,False,False,False,False,True,True,False
PTK6,False,False,False,False,False,False,False,True,False,False
PTPN3,False,False,False,False,False,False,False,True,True,False
PTPN6,False,True,False,False,False,False,False,False,False,True
PTPRC,False,False,False,False,False,False,False,True,False,False
PTPRK,False,False,False,False,False,False,False,True,False,False
PUM1,False,False,False,False,False,False,False,True,False,False
PUM2,False,False,False,False,False,False,False,True,False,False
RAB11A,False,False,False,True,False,False,False,True,False,True
RAB11FIP3,False,False,False,False,False,False,False,True,False,False
RAB11FIP4,False,False,False,False,False,False,False,True,False,False
RAB33B,False,False,False,False,False,False,False,True,False,False
RACGAP1,False,False,False,False,False,False,False,True,False,False
RACK1,False,False,False,False,False,False,False,True,False,False
RAD17,False,False,False,True,False,False,True,False,False,False
RAD18,False,False,False,False,False,False,False,True,False,False
RAD21,False,False,False,False,False,False,False,True,False,False
RAD23A,False,False,False,False,False,False,False,True,False,False
RAD50,False,False,False,True,False,True,True,False,False,False
RAD51,False,False,False,False,False,True,True,False,False,False
RAD51B,False,False,False,True,False,False,False,False,False,True
RAD51C,False,False,False,True,False,False,False,False,False,True
RANBP1,False,False,False,False,False,False,False,True,False,False
RARA,False,False,False,False,False,False,False,True,False,False
RASSF1,False,True,False,False,False,False,False,True,False,True
RB1,False,True,False,False,True,False,False,True,True,True
RBBP8,False,False,False,True,False,True,True,False,False,False
RBL1,False,True,False,False,False,False,False,False,False,True
RBL2,False,True,False,False,False,False,False,False,False,True
RBM38,False,False,False,False,False,False,False,True,False,False
RBM46,False,False,False,False,False,False,False,False,True,False
RCC1,False,True,False,False,False,False,False,True,True,True
RCC2,False,False,False,True,False,False,False,False,False,True
RDX,False,True,False,False,False,False,False,False,False,True
RFPL1,False,False,False,True,False,False,False,False,False,True
RFWD3,False,True,False,False,False,True,True,False,False,False
RGCC,False,True,False,False,False,False,False,True,True,True
RHEB,False,False,False,False,False,False,False,True,False,False
RHNO1,True,False,False,False,False,False,False,True,False,False
RHOA,False,False,False,False,False,False,False,True,False,False
RHOB,False,False,False,False,False,False,False,True,False,False
RINT1,False,False,False,True,False,False,True,False,False,False
RIOK2,False,False,False,False,True,False,False,False,False,True
RIPOR2,False,False,False,False,False,False,False,True,False,False
RNASEH2A,False,False,False,False,False,False,False,True,False,False
RNF112,False,False,False,False,False,False,False,True,False,False
RNF167,False,False,False,False,False,False,False,True,False,False
RNF20,False,False,False,False,False,False,False,True,True,False
RNF40,False,False,False,False,False,False,False,True,True,False
RPL23,False,False,False,False,False,False,False,True,False,False
RPRD1B,False,False,False,False,False,False,False,True,False,False
RPRM,False,False,False,False,False,False,False,True,True,False
RPS15A,False,False,False,False,False,False,False,True,False,False
RPS27L,False,True,False,False,False,False,True,False,False,False
RPS6KA2,False,False,False,False,False,False,False,True,False,False
RPS6KB1,False,True,False,False,False,False,False,True,True,True
RPTOR,False,True,False,False,False,False,False,False,False,True
RRM1,True,True,False,True,False,False,False,True,False,True
RRM2,False,True,False,False,False,False,False,False,False,True
RRM2B,True,False,False,True,False,False,False,True,False,True
RRP8,False,False,False,False,False,False,False,True,False,False
RUNX3,False,False,False,False,False,False,False,True,False,False
RUVBL1,False,False,False,False,False,False,False,True,False,False
RUVBL2,False,False,False,False,False,False,False,True,False,False
RXFP3,False,False,False,False,False,False,False,True,False,False
SASS6,False,True,False,False,False,False,False,True,False,True
SCAND3,False,False,False,False,False,False,False,True,False,False
SCRIB,False,False,False,False,False,False,False,True,True,False
SDCBP,False,False,False,False,False,False,False,True,True,False
SDE2,False,True,False,False,False,False,True,False,False,False
SERPINA2,False,False,False,True,False,True,True,False,False,False
SETD2,False,False,False,False,False,False,False,True,False,False
SETMAR,False,False,False,False,False,True,True,False,False,False
SFRP1,False,False,False,False,False,False,False,True,False,False
SGF29,False,False,False,False,False,False,False,True,False,False
SH3GLB1,False,False,False,False,False,False,False,True,False,False
SIPA1,False,False,False,False,False,False,False,True,False,False
SIRT1,False,False,False,False,False,False,False,True,True,False
SIRT2,False,False,False,False,False,False,False,True,False,True
SIX3,False,False,False,False,False,False,False,True,False,True
SKA1,False,False,False,False,False,True,True,True,False,False
SKA3,False,False,False,False,False,True,True,True,False,False
SLC25A15,False,False,False,True,False,False,True,False,False,False
SLFN11,False,True,False,False,False,False,False,False,False,True
SMARCA2,True,True,False,False,True,False,False,True,False,True
SMARCA4,True,True,False,False,True,False,False,True,False,True
SMARCA5,False,False,False,False,False,False,False,True,False,False
SMARCB1,True,True,False,False,True,False,False,True,False,True
SMARCC1,True,True,False,False,True,False,False,True,False,True
SMARCC2,True,True,False,False,True,False,False,True,False,True
SMARCD1,True,True,False,False,True,False,False,True,False,True
SMARCD2,True,True,False,False,True,False,False,True,False,True
SMARCD3,True,True,False,False,True,False,False,True,False,True
SMARCE1,True,True,False,False,True,False,False,True,False,True
SMC4,False,False,False,False,False,False,False,True,False,False
SMC5,False,False,False,False,False,False,False,True,False,False
SMC6,False,False,False,False,False,False,False,True,False,False
SMIM22,False,False,False,False,False,False,False,True,False,False
SMOC2,False,False,False,False,False,False,False,True,True,False
SND1,False,False,False,False,False,False,False,True,False,False
SON,False,False,False,False,False,False,False,True,False,False
SOX15,True,False,False,False,False,False,False,True,False,False
SOX2,False,True,False,False,False,False,False,False,False,True
SOX9,False,False,False,False,False,False,False,True,False,False
SPAG5,False,False,False,False,False,False,False,True,False,False
SPAST,False,False,False,False,False,False,False,True,False,True
SPATA22,False,False,False,False,False,False,False,True,False,False
SPDYA,False,True,False,False,False,False,False,False,False,True
SPHK1,False,False,False,False,False,False,False,True,True,False
SRPK2,False,False,False,False,False,False,False,True,False,False
SSTR5,False,False,False,False,False,False,False,True,False,False
STAT3,False,False,False,False,False,False,False,True,False,False
STIL,False,True,False,False,False,False,False,True,False,True
STK11,False,False,False,False,False,False,False,True,False,False
STK35,False,False,False,True,False,False,False,False,False,True
STOX1,False,True,False,True,False,False,False,False,False,True
STXBP4,False,True,False,False,False,False,False,False,False,True
SUSD2,False,True,False,False,False,False,False,False,False,True
SUV39H1,False,False,False,False,False,False,False,True,False,False
SVIL,False,False,False,False,False,False,False,True,False,False
TACC3,False,False,False,False,True,False,False,False,False,True
TADA2A,False,False,False,False,False,False,False,True,False,False
TADA3,False,False,False,False,False,False,False,True,False,False
TAF1,False,True,False,False,False,False,False,False,False,True
TAF2,False,False,False,True,False,False,False,False,False,True
TAF6,False,False,False,False,False,False,False,True,False,False
TAL1,False,False,False,False,False,False,False,True,True,False
TAOK1,False,False,False,True,False,False,True,False,False,False
TAOK2,False,False,False,True,False,False,True,False,False,False
TAOK3,False,False,False,True,False,False,True,False,False,False
TARDBP,False,False,False,False,False,False,False,True,False,False
TAS1R2,False,False,False,False,False,False,False,True,False,False
TAS2R13,False,False,False,False,False,False,False,True,False,False
TBRG1,False,False,False,False,False,False,False,True,False,False
TBRG4,False,False,False,False,False,False,False,True,False,False
TBX3,False,False,False,False,False,False,False,True,False,False
TCF7L1,False,True,False,False,False,False,False,True,False,True
TCIM,False,True,False,False,False,False,False,False,False,True
TENT5B,False,False,False,False,False,False,False,True,False,False
TERF1,False,False,False,False,False,False,False,True,False,False
TERF2,False,False,False,False,False,False,False,True,False,False
TFAP4,False,False,False,False,False,False,False,True,True,True
TFDP1,False,True,False,False,False,False,False,False,False,True
TFDP3,False,True,False,False,False,False,False,False,False,True
TFPT,False,False,False,False,False,False,False,True,False,False
TGFA,False,False,False,False,False,False,False,True,False,False
TGFB1,False,False,False,False,False,False,False,True,False,False
TGFB2,False,False,False,False,False,False,False,True,False,False
TGFBR1,False,False,False,False,False,False,False,True,False,False
TGM1,False,False,False,False,False,False,False,True,False,False
THAP1,False,False,False,False,False,False,False,True,True,False
THAP5,False,False,False,False,False,False,False,True,False,False
TICRR,False,False,False,True,False,False,True,False,False,False
TIPIN,False,False,True,False,False,False,False,True,False,False
TM4SF5,False,True,False,False,False,False,False,False,False,True
TMEM14B,False,True,False,False,False,False,False,False,False,True
TMEM8B,False,False,False,False,False,False,False,True,True,False
TMSB4X,False,True,False,False,False,False,False,False,False,True
TOM1L1,False,False,False,False,False,False,False,True,True,False
TOM1L2,False,False,False,False,False,False,False,True,True,False
TOPBP1,False,False,False,True,False,False,True,False,False,False
TP53,False,True,False,True,False,False,True,True,False,True
TP53BP2,False,False,False,False,False,False,False,True,False,False
TP53I13,False,False,False,False,False,False,False,True,False,False
TP53INP1,False,False,False,False,False,False,False,True,False,False
TP63,False,True,False,False,False,False,False,False,False,True
TP73,False,False,False,False,False,False,False,True,True,False
TPD52L1,False,False,False,True,False,False,False,False,False,True
TPR,False,False,False,False,False,True,True,True,False,False
TRIAP1,False,True,False,False,False,False,True,False,False,False
TRIM21,False,False,False,False,False,False,False,True,False,False
TRIM32,False,False,False,False,False,False,False,True,False,False
TRIM35,False,False,False,False,False,False,False,True,True,False
TRIM39,False,True,False,True,False,False,True,False,False,True
TRIM71,False,True,False,False,False,False,False,False,False,True
TRNP1,False,False,False,False,False,False,False,True,False,False
TRRAP,False,False,False,False,False,False,False,True,False,False
TSC1,False,False,False,False,False,False,False,True,False,False
TSC2,False,False,False,False,False,False,False,True,False,False
TSC22D2,False,False,False,False,False,False,False,True,False,False
TSPYL2,False,False,False,False,False,False,False,True,False,False
TTC28,False,False,False,False,False,False,False,True,True,False
TTL,False,False,False,False,False,False,False,True,True,False
TTLL12,False,False,False,False,False,False,False,True,True,False
TXLNG,False,False,False,False,False,False,False,True,False,False
UBD,False,False,False,False,False,False,False,False,True,True
UBE2A,False,False,False,True,False,False,False,False,False,True
UBE2C,False,False,False,False,True,False,False,False,False,True
UBE2E2,False,True,False,False,False,False,False,False,False,True
UBE2S,False,False,False,False,False,False,False,False,False,True
UBXN2B,False,False,False,False,False,False,False,True,False,False
UCHL5,False,False,False,False,False,False,False,True,False,False
UHMK1,False,False,False,False,False,False,False,True,False,False
UHRF2,False,False,False,False,False,False,False,True,False,False
UIMC1,False,False,False,True,False,True,True,False,False,False
USH1C,False,False,False,True,False,False,False,False,False,True
USP17L2,False,False,False,True,False,False,False,False,False,False
USP19,False,False,False,False,False,False,False,True,False,False
USP2,False,False,False,False,False,False,False,True,True,False
USP22,False,False,False,True,False,False,False,True,True,True
USP26,False,True,False,False,False,False,False,False,False,True
USP29,False,True,False,False,False,False,False,False,False,True
USP37,False,True,False,False,False,False,False,False,False,True
USP44,False,False,False,False,False,True,True,True,False,True
USP50,False,False,False,True,False,False,False,False,False,True
USP51,False,False,False,False,False,False,False,True,False,False
UVRAG,False,False,False,False,False,False,False,True,False,False
UXT,False,False,False,True,False,False,False,True,False,True
VPS4A,False,False,False,True,False,True,True,True,False,False
VPS4B,False,False,False,True,False,False,False,False,False,True
VPS72,False,False,False,False,False,False,False,True,False,False
WAC,False,True,False,False,False,False,True,False,False,False
WAPL,False,False,False,False,False,False,False,True,False,False
WDR12,False,False,False,False,False,False,False,True,False,False
WDR5,False,False,False,False,False,False,False,True,False,False
WDR76,False,False,False,False,False,True,True,False,False,False
WEE1,False,True,False,True,False,False,False,False,False,True
WIZ,False,False,True,False,False,False,False,True,False,False
XIAP,False,False,False,False,False,False,False,True,False,False
XPC,False,False,False,False,False,False,False,False,True,True
XRCC3,False,False,False,False,False,True,True,True,False,False
YEATS2,False,False,False,False,False,False,False,True,False,False
YEATS4,False,False,False,False,False,False,False,True,False,False
YTHDF2,False,False,False,False,False,False,False,True,False,False
YWHAE,False,False,False,False,False,False,False,True,True,False
YY1,False,False,False,False,False,False,False,True,False,False
YY1AP1,False,False,False,False,False,False,False,True,False,False
ZBTB17,False,False,False,False,False,False,False,True,False,False
ZBTB49,False,False,False,False,False,False,False,True,False,False
ZC3H12D,False,True,False,False,False,False,False,False,False,True
ZFP36L1,False,False,False,False,False,False,False,False,True,True
ZFP36L2,False,False,False,False,False,False,False,False,True,True
ZFYVE19,False,False,False,True,False,True,True,True,False,False
ZFYVE26,False,False,False,False,False,False,False,True,False,False
ZNF16,False,False,False,False,False,False,False,True,False,True
ZNF207,False,False,False,False,False,False,False,True,False,False
ZNF268,False,False,False,False,False,False,False,True,True,False
ZNF324,False,True,False,False,False,False,False,False,False,True
ZNF367,False,False,False,True,False,False,True,True,False,True
ZNF655,False,True,False,False,False,False,False,False,False,True
ZNF703,False,False,False,False,False,False,False,True,False,False
ZNF830,False,False,False,True,False,False,True,False,False,False
ZNRF4,False,False,False,False,False,False,False,True,False,False
ZPR1,False,False,False,False,False,False,False,True,False,False
ZW10,False,False,False,False,False,False,False,True,False,True
ZWILCH,False,False,False,False,False,False,False,True,False,False
ZZZ3,False,False,False,False,False,False,False,True,False,False
